query,title,url,snippet
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,ENVIRONMENTAL & SOCIAL RESPONSIBILITY REPORT FISCAL ...,https://d1io3yog0oux5.cloudfront.net/_8976ca631b4350ebfb8ce74b4ebdc137/vfc/files/documents/Sustainability/Resources/VF_FY2023_Environmental_Social_Responsibility_Report_FINAL.pdf,"The full Board engages with senior VF leaders on the company's strategy, including plans for our brands, the competitive environment, sustainability initiatives ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,VF Corporation - Climate Change 2023,https://d1io3yog0oux5.cloudfront.net/_5651fd865c06c65af23ffbc580f52286/vfc/files/pages/vfc/db/436/description/VF_CDP_Climate_Change_2023.pdf,"VF's Executive Vice President (EVP), Global Supply Chain, regularly reports to the board on various aspects of VF's business and sustainability strategy."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,VF CORPORATION Annual Report FISCAL YEAR 2023,https://d1io3yog0oux5.cloudfront.net/_1f741c4874f6b9c045945b469fecdddf/vfc/db/409/112817/annual_report/VF_FY2023_Annual_Report-DIGITAL-FINAL.pdf,"May 25, 2023 ... VF Corporation Fiscal 2023 Form 10-K. 1. Page ... reviews VF's Code of Business Conduct and VF's sustainability ... Annual Report under the caption ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,Purpose. Action. Progress.,https://d1io3yog0oux5.cloudfront.net/vfc/files/documents/Sustainability/Resources/VF_FY2020_Made_for_Change_Report_FINAL.pdf,... VF direct operations and sponsored events by 2023. ... VF FY2020 Annual Report (p. 12). 102-02. Activities ... VF FY2020 Sustainability & Responsibility Report (p.
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,VF Corporation Named One of the 100 Best Corporate Citizens of ...,https://d1io3yog0oux5.cloudfront.net/_43d00f519cb9ebbdca6201386f37db62/vfc/news/2023-10-18_VF_Corporation_Named_One_of_the_100_Best_1824.pdf,"Oct 18, 2023 ... VF publishes its FY2023 sustainability report this November. This report shares VF's progress towards goals, including environmental ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,VF Corporation - Water Security 2023,https://d1io3yog0oux5.cloudfront.net/_1a2d9794a4c7675e4d36d2afcd546479/vfc/files/pages/vfc/db/436/description/VF_CDP_Water_Security_2023.pdf,"Mar 31, 2023 ... ... reports to the VF Board of Directors regarding VF's environmental impacts, which includes progress toward the sustainability goals and ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,VF Corporation - Water Security 2022,https://d1io3yog0oux5.cloudfront.net/vfc/files/documents/Sustainability/VF_CDP_Water_Security_2022.pdf,"Mar 31, 2022 ... with the VF Global Sustainability & Responsible Sourcing strategy and company-specific business objectives. Additionally, VF completes a bi ..."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,Global Reporting Initiative (GRI) Content Index,https://d1io3yog0oux5.cloudfront.net/_16425df70b7f0317e57ebf725d5de565/vfc/files/documents/Sustainability/Resources/VF_FY2023_GRI_Index_FINAL.pdf,VF FY2023 Annual Report (p. 47). 8. 9. ANTI-CORRUPTION. 3-3. Management of material topics. VF FY2023 Sustainability & Responsibility Report (p. 10). 205-2.
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,VF Corporation - Climate Change 2022,https://d1io3yog0oux5.cloudfront.net/vfc/files/documents/Sustainability/VF_CDP_Climate_Change_2022.pdf,"VF's CEO and Executive Vice President (EVP), Global Supply Chain regularly report to the board on various aspects of VF's business and sustainability strategy."
V. F. CORPORATION Sustainability Report 2023 filetype:pdf site:cloudfront.net,Modern Slavery and Human Rights Statement VF is committed to ...,https://d1io3yog0oux5.cloudfront.net/_e0589347dc44578f2d0f685ec7cafb92/vfc/files/pages/vfc/db/436/description/FINAL_Modern_Slavery_Act_Disclosure.pdf,Sustainability Report. This Modern Slavery and Human Rights Statement discusses the activities of VF Corporation and its current consolidated subsidiaries ...
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,FedEx Corporation,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/a9687faf-0a00-4135-a02e-0fc07e15d117.pdf,"Jul 17, 2023 ... Our 2023 ESG Report is available at fedex.com/en- us/sustainability/reports.html. This report details progress toward our ESG strategies ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,2023 Proxy Statement,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/44ae4e67-a2f2-4780-9111-6a70365ecbac.pdf,"Aug 10, 2023 ... Explore our goals and progress at fedex.com/en-us/sustainability/reports.html. ... report disclosing how FedEx Corp., is addressing the impact."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,FedEx Corporation,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/eb76ac93-a501-49a2-8243-48a3b164716c.pdf,"Sep 21, 2023 ... ... Corp., an investment company ... FedEx's Annual Report to Stockholders for the fiscal year ended May 31, 2023 ... fedex.com/en-us/sustainability/ ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,COMPLIANCE WEEK,https://d6jxgaftxvagq.cloudfront.net/Uploads/n/c/d/workivaesgebook2022final_516908.pdf,"UPS has been publishing annual sustainability reports since 2002. ... report, starting in FY2023 ... Mitch Jackson, FedEx's chief sustainability officer, said the ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,2023 Annual Report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/e95a603e-b4d7-4b2b-8056-5381bce3dd0e.pdf,"Jul 17, 2023 ... ... FedEx Corporation Annual Report on Form 10-K, ... available at fedex.com/en-us/sustainability/reports ... FedEx Corporation (the Company) as of May ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,FedEx Corp (FDX) Vote Yes: Item 8 – Report on Assessing Systemic ...,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/ac8e2d12-c25e-4f3f-a0d4-5279c1139397.pdf,"Sep 19, 2023 ... 2023 Proxy Memo. FedEx Corp | Report on Assessing Systemic Climate Risk from Retirement Plan Options. DISCUSSION. 1. The Company's 401(k) ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,IBM's 2021 ESG Report,https://dsxx4t8pjznor.cloudfront.net/wp-content/uploads/2022/04/27155649/IBM_2021_ESG_Report.pdf,"as well as corporate social responsibility, sustainability, environmental, and other societal and governance matters. ... globally by year-end 2023 ... IBM 2021 ESG ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,"ENVIRONMENTAL, SOCIAL, AND GOVERNANCE REPORT",https://d1io3yog0oux5.cloudfront.net/_7718a3995eaa4232a6ed41a2042f510d/wyndhamhotels/db/2300/20907/document/2023ESGReport_16104225137.pdf,"Wyndham Hotels & Resorts' Social Responsibility program, including ESG matters, is directly overseen by the Company's. Board of Directors, through the Corporate ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,Notice of 2019 Annual Meeting of Stockholders,http://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/92e74a03-1e47-4fa8-a2cd-577ccb32ee47.pdf,"Aug 12, 2019 ... Global Citizenship Report is available at http://csr.fedex.com. ... 96.8650 06/03/2023. 159,485 ... FedEx's Annual Report to Stockholders for ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:cloudfront.net,FEDEX CORPORATION,http://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/7fba0d15-1c88-4aeb-a941-4b86fb1163af.pdf,"Jul 17, 2017 ... ... environment, see http://csr.fedex.com . ... Form of 2.70% Note due 2023. ... In connection with the Annual Report of FedEx Corporation (“FedEx ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,P&G 2023 Annual Report,https://assets.ctfassets.net/oggad6svuzkv/2pIQQWQXPpxiKjjmhfpyWf/eb17b3f3c9c21f7abb05e68c7b1f3fcd/2023_annual_report.pdf,"Aug 4, 2023 ... Brand names referenced in this Annual Report are trademarks of The Procter & Gamble Company or one of its subsidiaries. All other brand ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2022 Proxy Statement,https://assets.ctfassets.net/oggad6svuzkv/7BKFNgCn4VDfBqjlfPF5L1/0efea9d5d6dca15a473816f616953c46/2022_Proxy_Statement.pdf,"Aug 26, 2022 ... The Company's principal executive offices are located at 1 Procter & Gamble Plaza, Cincinnati, Ohio 45202. These proxy materials are first being ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2023 Proxy Statement,https://assets.ctfassets.net/oggad6svuzkv/1VrZoF2f2ooT68Gtqb00wq/5764489c313f28b748ff0bcd181190f7/2023_Proxy_Statement.pdf,"Aug 25, 2023 ... Shareholders request that, beginning in 2024, The Procter & Gamble Company report annually to shareholders on the nature and extent to which ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,Annual Report,https://assets.ctfassets.net/jokvdaaztkj7/4uYA3VZObsm05c33u4NQIU/86749c570b0d52665a156f3cce01b093/2022_annual_report.pdf,"Aug 5, 2022 ... Brand names referenced in this Annual Report are trademarks of The Procter & Gamble Company or one of its subsidiaries. ... 2023 (Incorporated by ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2020 Annual Report,https://assets.ctfassets.net/oggad6svuzkv/6QbpwzgFixJeAgimiiy9L4/77b265d2bef5420f73b846474e60ebd6/PG-2020-Annual-Report.pdf,"Aug 6, 2020 ... 1 on Form 10-K/A amends The Procter & Gamble Company's Annual Report on Form 10-K for the year ended June 30, 2020, which the Company previously."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2014 Sustainability Report,https://assets.ctfassets.net/oggad6svuzkv/4YCSy3zemAgC8wqaqKIkMO/5821a7c0bccc236c21138565d87c21f9/2014_Sustainability_Report_Executive_Summary.pdf,"... results exclude net sales in Corporate. North America. Europe. Asia. Latin America. India, Middle East and Africa (IMEA). Page 12. ©2014 Procter & Gamble."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2014 Sustainability Report,https://assets.ctfassets.net/oggad6svuzkv/ZptYlWrJaUIqgMgEe6qwo/5b076acbcd8b1ccbadb22b58533ac2d2/2014_Full_Sustainability_Report.pdf,"This is the 16th Sustainability Report for Procter & Gamble's worldwide operations. ... At The Procter & Gamble Company, we take great ... 2,023. 19,075. 806. 1,028."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2023 Citizenship Report | P&G Northern Europe,https://assets.ctfassets.net/zyvr84rwvj68/3GfBtsummhC7S8wwq5SBIP/f6f2f189f2d9f42722dcafda7cdebcb7/2023_Northern_Europe_Citizenship_Report_FINAL.pdf,"This year, we hosted a number of inspiring events, including a fireside chat with our Chief. Sustainability Officer, Virginie Helias, on International. Women's ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,CORPORATE GOVERNANCE,https://assets.ctfassets.net/oe48y40ukei6/3dmRnKCtNFxjl9JQYiuQfV/1b6b5b55a99719bb4bbc742b53fe1a54/CORPORATE_GOVERNANCE_REPORT_2023.pdf,"Jun 30, 2023 ... Annual Report, Board committee framework, ... Procter & Gamble Company, USA under its ... August 28, 2023 approved payment of annual commission of ..."
Procter & Gamble Co. Sustainability Report 2023 filetype:pdf site:assets.ctfassets.net,2020 Proxy Statement,https://assets.ctfassets.net/oggad6svuzkv/5d2sL6BjTNm30mEcIZOc7H/8df1cc5f80e5380410db6d7c657848a9/AR2020.pdf,"Aug 28, 2020 ... and incorporated by reference into the Company's Annual Report ... February 28, 2023. These units ... Shareholders request that Procter and Gamble ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2023-Annual-Report.pdf,https://s21.q4cdn.com/665674268/files/doc_downloads/2023/09/2023-Annual-Report.pdf,"Sep 21, 2023 ... ... FedEx Corporation Annual Report on Form 10-K, ... available at fedex.com/en-us/sustainability/reports ... FedEx Corporation (the Company) as of May ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2023 Proxy Statement,https://s21.q4cdn.com/665674268/files/doc_financials/2023/ar/419402-1-_11_FedEx-Proxy_WR.pdf,"Aug 10, 2023 ... Explore our goals and progress at fedex.com/en-us/sustainability/reports.html. ... report disclosing how FedEx Corp., is addressing the impact."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Integrated Sustainability and Financial Report 2023 | Ford Corporate,https://s201.q4cdn.com/693218008/files/doc_downloads/key-disclosures/2023/2023-Integrated-Sustainability-and-Financial-Report.pdf,"For example, FedEx Office is piloting the E-Transit for SameDay City service. “FedEx SameDay City is a perfect use-case for testing the capabilities of the ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Global Economic Impact Report,https://s21.q4cdn.com/665674268/files/doc_downloads/2023/10/30/2023-FedEx-Economic-Impact-Report.pdf,"Oct 30, 2023 ... Despite a challenging operating environment in FY 2023, FedEx continued making substantial contributions to the worldwide economy. This section ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2020 Global Citizenship Report,https://s21.q4cdn.com/665674268/files/doc_downloads/FedEx_2020_Global_Citizenship_Report.pdf,"Our 12th annual Global Citizenship Report. (the “Report”) covers FedEx corporate social responsibility (CSR) strategies, goals, programs, and progress."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2023 proxy statement - and notice of annual meeting,https://s24.q4cdn.com/875787111/files/doc_financials/2023/ar/CMCO-2023-Proxy.pdf,"Jun 12, 2023 ... FedEx Corporation. (NYSE: FDX). Board ... 2023, we published our third annual Sustainability. Report. ... Corp. Development and Secretary, and held ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,FedEx Corporation,https://s21.q4cdn.com/665674268/files/doc_financials/2023/q4/FedEx-FY23-10-K.pdf,"Jul 17, 2023 ... Our 2023 ESG Report is available at fedex.com/en- us/sustainability/reports.html. This report details progress toward our ESG strategies ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2022 ANNUAL REPORT,https://s21.q4cdn.com/665674268/files/doc_financials/2022/ar/Annual-Report.pdf,"Jul 18, 2022 ... available at fedex.com/en-us/sustainability/reports.html. ... In 2023, FedEx Ground will focus on specific ... Copies of FedEx Corporation's Annual ..."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2022 - Sustainability Report,https://s29.q4cdn.com/769210894/files/doc_downloads/2023/Glaukos-2022-Sustainability-Report_vFF.pdf,"The topics have been grouped by category — Governance,. Products, Social, and Environmental. TOPIC. GOALS/KEY PERFORMANC E INDICATORS (KPI) SET IN 2023 1."
FedEx Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Sustainability Report,https://s29.q4cdn.com/769210894/files/doc_financials/2024/ar/Glaukos-2023-Sustainability-Report_vFF.pdf,"Apr 16, 2024 ... SOCIAL. ENVIRONMENTAL. APPENDIX. 54. Glaukos Corporation | 2023 Sustainability Report. In 2023, the EH&S Inspection program continued in San."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",Annual Report,https://s202.q4cdn.com/285121676/files/doc_financials/2022/ar/2022ar.pdf,"May 19, 2023 ... Macy's, Inc. is guided in its actions and reporting by its stakeholders and by third-party frameworks, including Sustainability Accounting ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",2022 Bus & Sus Report,https://s24.q4cdn.com/367535798/files/doc_downloads/2024/aflac-incorporated-2022-business-and-sustainability-report-3-16-23-2.pdf,"Mar 8, 2021 ... annual Corporate Social Responsibility report. ... Investments, pages 40-43 2023 Sustainability ... Dillard. Carlos A. Downing Michael David Evans ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com","2022 Environmental, Social Responsibility and Governance Report",https://s1.q4cdn.com/616223341/files/doc_downloads/2023/03/2022-hancock-whitney-environment-social-and-governance-report.pdf,"Mar 14, 2023 ... to follow in 2023. Building and Construction ... with the Dillard ... approves the content of the Company's Environmental,. Social Responsibility ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",2023 Proxy Statement,https://s21.q4cdn.com/665674268/files/doc_financials/2023/ar/419402-1-_11_FedEx-Proxy_WR.pdf,"Aug 10, 2023 ... The success of our efforts is built on our sound environmental, social, and governance (ESG) practices, which are aligned with our company ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",NOTICE OF 2022 ANNUAL MEETING OF STOCKHOLDERS To Be ...,https://s22.q4cdn.com/761118364/files/doc_financials/2021/ar/Dillards-Proxy-Q4-smaller.pdf,"Apr 8, 2022 ... General. The enclosed proxy is solicited by and on behalf of the Board of Directors (the “Board”) of Dillard's,. Inc., a Delaware ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",2023Annual Report,https://s202.q4cdn.com/285121676/files/doc_financials/2023/ar/Macys-Inc-Annual-Report-2023_.pdf,"Mar 22, 2024 ... The Company makes its annual report on Form ... 2023 CDP Climate Change Report covering fiscal year ... Inc., Dillard's, Inc., Dollar Tree, Inc ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",energy for a better future,https://s201.q4cdn.com/714390239/files/doc_financials/2023/ar/2023-performance-report.pdf,"Mar 22, 2024 ... Entergy 2023 Performance Report | 1. 2023 ... In 2023, our commitment to corporate social responsibility ... charge to 1,500 first-year students at ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com","The Gap, Inc.",https://s24.q4cdn.com/508879282/files/doc_financials/2018/ar/GAP-INC-files-(DEF-14A)-Definitive-proxy-statements-for-period-end-22-May-18-(GPS-US).pdf,"Apr 10, 2018 ... Former director of Dillard's, Inc., 2003-2004, ... Sustainability Report available at www.gapinc.com (follow the Sustainability link). ... 36.45 3/ ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",Notice of 2020 Annual Meeting of Stockholders and Proxy Statement,https://s21.q4cdn.com/665674268/files/doc_financials/annual/2020/371822_1_11_FedEx_NPS_WR.pdf,"Sep 21, 2020 ... Corporation, Dillard's, Inc., Gaylord Entertainment Company, lululemon athletica inc., and. Ruby Tuesday, Inc. SKILLS AND QUALIFICATIONS."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:q4cdn.com",Untitled,https://s201.q4cdn.com/714390239/files/doc_financials/2023/ar/notice-of-2024-annual-meeting-of-shareholders-and-proxy-statement-final-as-filed-pdf-3-22-24.pdf,"Mar 22, 2024 ... Sustainability Reporting and Disclosure. Our 2023 Performance Report describes our sustainability strategies and initiatives. Reflecting our."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",Sustainable Cotton Ranking,https://d2ouvy59p0dg6k.cloudfront.net/downloads/cotton_ranking_report___june_2016_2.pdf,to use more sustainable cotton report on their ... Does the company report on the absolute volume of all cotton? ... Dillard's Inc. scores 0 out of 19.5 points ...
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",Annual Report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000794367/3415fecc-788c-424d-9385-62e05da273b0.pdf,"May 19, 2023 ... Macy's, Inc. is guided in its actions and reporting by its stakeholders and by third-party frameworks, including Sustainability Accounting ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",2023Annual Report,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000794367/4e97a70d-7fd6-4b69-8622-8f1c0d131531.pdf,"Mar 22, 2024 ... The Company makes its annual report on Form ... 2023 CDP Climate Change Report covering fiscal year ... Inc., Dillard's, Inc., Dollar Tree, Inc ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",2023 Proxy Statement,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/44ae4e67-a2f2-4780-9111-6a70365ecbac.pdf,"Aug 10, 2023 ... Our 2023 ESG Report and other sustainability disclosures can be found at fedex.com/en-us/sustainability.html. We have implemented strategies ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",notice of annual meeting of gap inc. shareholders proxy statement,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000039911/bd5f5c3d-5c37-4112-ad31-575898448118.pdf,"Apr 7, 2020 ... Dillard's, Inc. from 2003 to 2004, Edgewater ... Sustainability Report available at www.gapinc.com (follow the Sustainability link). ... 3/18/2023."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",FedEx Corporation,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/eb76ac93-a501-49a2-8243-48a3b164716c.pdf,"Sep 21, 2023 ... ... Dillard's, Inc ... The 2023 ESG Report and 2022 Global Economic Impact Report are not incorporated ... Our 2023 ESG Report and other sustainability ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",Notice of Annual Meeting of Shareholders and Proxy Statement,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000094845/6c9cb199-717b-4f1e-9284-c1ff9f15442d.pdf,"Apr 11, 2022 ... decided to remove Dillard's, Inc. and ... In the interests of traceability, our company's 2020 Sustainability Report includes an interactive map ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",Notice of 2019 Annual Meeting of Stockholders,http://d18rn0p25nwr6d.cloudfront.net/CIK-0001048911/92e74a03-1e47-4fa8-a2cd-577ccb32ee47.pdf,"Aug 12, 2019 ... 2019 Global Citizenship Report* http://csr.fedex.com. * The information on the Global Citizenship Report web page is not incorporated by ..."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net",FORM 10-K,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000910612/ddc4634f-7cf9-480d-bf95-3cc2f7384816.pdf,"Oct 22, 2020 ... ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934. FOR THE FISCAL YEAR ENDED DECEMBER 31, 2020."
"Dillard's, Inc. Sustainability Report 2023 filetype:pdf site:cloudfront.net","Macy's, Inc.",https://d18rn0p25nwr6d.cloudfront.net/CIK-0000794367/a9dc09e9-1726-4e01-9552-50b00d788603.pdf,"Apr 15, 2024 ... Submitted fiscal year 2022 (FY22) CDP Climate Change Report in July 2023 that included the following highlights: ○. Installed LED lighting ..."
Skyline Champion Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,Sustainability Report 2023,https://s22.q4cdn.com/367818993/files/doc_downloads/2024/Sustainability-Report-2023_4-17-2024.pdf,"Apr 22, 2024 ... Social responsibility to homebuyers, customers, employees and the communities in which they live and work. Page 12. 12. Skyline Champion 2023 ..."
Skyline Champion Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,FINAL-WBD-2023-Sustainability-Report.pdf,https://s201.q4cdn.com/336605034/files/doc_downloads/2024/04/final-wbd-2023-sustainability-report.pdf,"Apr 4, 2024 ... 2023 Street Law. Corporate Champion. Award. 2023 Fortune World's Most. Admired Companies: #7 in. Entertainment Industry. 2023 RippleMatch Campus."
Skyline Champion Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,FISCAL YEAR 2023,https://s28.q4cdn.com/541786762/files/doc_downloads/sustainability/2023/fy23-atlassian-sustainability-report.pdf,See appendix for context regarding forward-looking statements. Atlassian | FY2023 Sustainability Report. People Customers Community Governance Appendix.
Skyline Champion Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,SUSTAINABILITY REPORT 2023,https://s202.q4cdn.com/811024256/files/doc_financials/2023/sr/Ho%CC%88egh_LNG_Sustainability_Report_2023_in_PDF_Format.pdf,"Apr 18, 2024 ... In 2025, the EU will enforce new regulations for corporate sustainability reporting under the. CSRD. As a company, we will comply with required."
Skyline Champion Corp. Sustainability Report 2023 filetype:pdf site:q4cdn.com,2022 Sustainability Report,https://s1.q4cdn.com/379746662/files/doc_downloads/2023/08/2022-Prudential-Sustainability-Report-ADA-8-1-23.pdf,"It's evident in our commitment to caring for our employees, enacting strong corporate governance, and promoting transparent reporting. In 2022, we articulated a ..."
